[110] train-err:0.007780 train-nlik:0.048574 valid-err:0.023100 valid-nlik:0.083735 test-err:0.020400 test-nlik:0.075217
[111] train-err:0.007700 train-nlik:0.048443 valid-err:0.022900 valid-nlik:0.083512 test-err:0.020000 test-nlik:0.075086
[112] train-err:0.007620 train-nlik:0.048325 valid-err:0.022700 valid-nlik:0.083360 test-err:0.020000 test-nlik:0.074944
[113] train-err:0.007620 train-nlik:0.048160 valid-err:0.022800 valid-nlik:0.083089 test-err:0.019900 test-nlik:0.074775
[114] train-err:0.007640 train-nlik:0.048217 valid-err:0.022500 valid-nlik:0.083022 test-err:0.019900 test-nlik:0.074789
[115] train-err:0.007540 train-nlik:0.048081 valid-err:0.022500 valid-nlik:0.082836 test-err:0.019700 test-nlik:0.074544
[116] train-err:0.007520 train-nlik:0.048003 valid-err:0.022400 valid-nlik:0.082766 test-err:0.019700 test-nlik:0.074537
[117] train-err:0.007420 train-nlik:0.047923 valid-err:0.022500 valid-nlik:0.082706 test-err:0.020100 test-nlik:0.074409
[118] train-err:0.007360 train-nlik:0.047883 valid-err:0.022600 valid-nlik:0.082659 test-err:0.020000 test-nlik:0.074296
[119] train-err:0.007280 train-nlik:0.047790 valid-err:0.022500 valid-nlik:0.082586 test-err:0.019800 test-nlik:0.074211
[120] train-err:0.007220 train-nlik:0.047674 valid-err:0.022600 valid-nlik:0.082519 test-err:0.020000 test-nlik:0.074150
[121] train-err:0.007140 train-nlik:0.047560 valid-err:0.022500 valid-nlik:0.082413 test-err:0.019900 test-nlik:0.074070
[122] train-err:0.007060 train-nlik:0.047426 valid-err:0.022700 valid-nlik:0.082352 test-err:0.019800 test-nlik:0.073940
[123] train-err:0.007000 train-nlik:0.047302 valid-err:0.022100 valid-nlik:0.082255 test-err:0.020000 test-nlik:0.073821
[124] train-err:0.007000 train-nlik:0.047250 valid-err:0.022500 valid-nlik:0.082204 test-err:0.019600 test-nlik:0.073768
[125] train-err:0.007040 train-nlik:0.047267 valid-err:0.022300 valid-nlik:0.082256 test-err:0.019700 test-nlik:0.073752
[126] train-err:0.007020 train-nlik:0.047151 valid-err:0.022200 valid-nlik:0.082216 test-err:0.019400 test-nlik:0.073670
[127] train-err:0.007000 train-nlik:0.047162 valid-err:0.022200 valid-nlik:0.082229 test-err:0.019300 test-nlik:0.073666
[128] train-err:0.006940 train-nlik:0.047009 valid-err:0.022100 valid-nlik:0.082104 test-err:0.019300 test-nlik:0.073502
[129] train-err:0.006940 train-nlik:0.046896 valid-err:0.022400 valid-nlik:0.081891 test-err:0.019500 test-nlik:0.073467
[130] train-err:0.006900 train-nlik:0.046823 valid-err:0.022100 valid-nlik:0.081889 test-err:0.019200 test-nlik:0.073356
[131] train-err:0.006860 train-nlik:0.046709 valid-err:0.022100 valid-nlik:0.081837 test-err:0.019100 test-nlik:0.073271
[132] train-err:0.006860 train-nlik:0.046632 valid-err:0.022100 valid-nlik:0.081815 test-err:0.019200 test-nlik:0.073187
[133] train-err:0.006900 train-nlik:0.046500 valid-err:0.021600 valid-nlik:0.081716 test-err:0.019200 test-nlik:0.073060
[134] train-err:0.006860 train-nlik:0.046411 valid-err:0.021500 valid-nlik:0.081618 test-err:0.019300 test-nlik:0.072948
